gene_id,gene_symbol,gene_name,Species
46138,A1BG,alpha-1-B glycoprotein,Human
46139,A1BG-AS1,A1BG antisense RNA 1,Human
46140,A1CF,APOBEC1 complementation factor,Human
46142,A2M,alpha-2-macroglobulin,Human
46143,A2M-AS1,A2M antisense RNA 1,Human
46144,A2ML1,alpha-2-macroglobulin like 1,Human
46145,A2ML1-AS1,A2ML1 antisense RNA 1,Human
46146,A2ML1-AS2,A2ML1 antisense RNA 2,Human
46147,A2MP1,alpha-2-macroglobulin pseudogene 1,Human
46150,A3GALT2,"alpha 1,3-galactosyltransferase 2",Human
46151,A4GALT,"alpha 1,4-galactosyltransferase (P blood group)",Human
46152,A4GNT,"alpha-1,4-N-acetylglucosaminyltransferase",Human
46158,AAAS,aladin WD repeat nucleoporin,Human
46162,AACS,acetoacetyl-CoA synthetase,Human
46163,AACSP1,acetoacetyl-CoA synthetase pseudogene 1,Human
46165,AADAC,arylacetamide deacetylase,Human
46166,AADACL2,arylacetamide deacetylase like 2,Human
46167,AADACL2-AS1,AADACL2 antisense RNA 1,Human
46168,AADACL3,arylacetamide deacetylase like 3,Human
46169,AADACL4,arylacetamide deacetylase like 4,Human
46170,AADACP1,arylacetamide deacetylase pseudogene 1,Human
46171,AADAT,aminoadipate aminotransferase,Human
46172,AAGAB,alpha and gamma adaptin binding protein,Human
46173,AAK1,AP2 associated kinase 1,Human
46174,AAMDC,adipogenesis associated Mth938 domain containing,Human
46175,AAMP,angio associated migratory cell protein,Human
46176,AANAT,aralkylamine N-acetyltransferase,Human
46177,AAR2,AAR2 splicing factor,Human
46178,AARD,alanine and arginine rich domain containing protein,Human
46179,AARS,alanyl-tRNA synthetase,Human
46180,AARS2,"alanyl-tRNA synthetase 2, mitochondrial",Human
46181,AARSD1,alanyl-tRNA synthetase domain containing 1,Human
46182,AARSP1,alanyl-tRNA synthetase pseudogene 1,Human
46183,AASDH,aminoadipate-semialdehyde dehydrogenase,Human
46184,AASDHPPT,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,Human
46185,AASS,aminoadipate-semialdehyde synthase,Human
46186,AATBC,apoptosis associated transcript in bladder cancer,Human
46187,AATF,apoptosis antagonizing transcription factor,Human
46188,AATK,apoptosis associated tyrosine kinase,Human
46190,ABALON,apoptotic BCL2L1-antisense long non-coding RNA,Human
46191,ABAT,4-aminobutyrate aminotransferase,Human
46197,ABCA1,ATP binding cassette subfamily A member 1,Human
46198,ABCA2,ATP binding cassette subfamily A member 2,Human
46199,ABCA3,ATP binding cassette subfamily A member 3,Human
46200,ABCA4,ATP binding cassette subfamily A member 4,Human
46201,ABCA5,ATP binding cassette subfamily A member 5,Human
46202,ABCA6,ATP binding cassette subfamily A member 6,Human
46203,ABCA7,ATP binding cassette subfamily A member 7,Human
46204,ABCA8,ATP binding cassette subfamily A member 8,Human
46205,ABCA9,ATP binding cassette subfamily A member 9,Human
46206,ABCA9-AS1,ABCA9 antisense RNA 1,Human
46207,ABCA10,ATP binding cassette subfamily A member 10,Human
46208,ABCA11P,"ATP binding cassette subfamily A member 11, pseudogene",Human
46209,ABCA12,ATP binding cassette subfamily A member 12,Human
46210,ABCA13,ATP binding cassette subfamily A member 13,Human
46211,ABCA17P,"ATP binding cassette subfamily A member 17, pseudogene",Human
46212,ABCB1,ATP binding cassette subfamily B member 1,Human
46215,ABCB4,ATP binding cassette subfamily B member 4,Human
46216,ABCB5,ATP binding cassette subfamily B member 5,Human
46217,ABCB6,ATP binding cassette subfamily B member 6 (Langereis blood group),Human
46218,ABCB7,ATP binding cassette subfamily B member 7,Human
46219,ABCB8,ATP binding cassette subfamily B member 8,Human
46220,ABCB9,ATP binding cassette subfamily B member 9,Human
46221,ABCB10,ATP binding cassette subfamily B member 10,Human
46222,ABCB10P1,ABCB10 pseudogene 1,Human
46224,ABCB10P3,ABCB10 pseudogene 3,Human
46225,ABCB10P4,ABCB10 pseudogene 4,Human
46226,ABCB11,ATP binding cassette subfamily B member 11,Human
46227,ABCC1,ATP binding cassette subfamily C member 1,Human
46228,ABCC2,ATP binding cassette subfamily C member 2,Human
46229,ABCC3,ATP binding cassette subfamily C member 3,Human
46230,ABCC4,ATP binding cassette subfamily C member 4,Human
46231,ABCC5,ATP binding cassette subfamily C member 5,Human
46232,ABCC5-AS1,ABCC5 antisense RNA 1,Human
46233,ABCC6,ATP binding cassette subfamily C member 6,Human
46234,ABCC6P1,ATP binding cassette subfamily C member 6 pseudogene 1,Human
46235,ABCC6P2,ATP binding cassette subfamily C member 6 pseudogene 2,Human
46237,ABCC8,ATP binding cassette subfamily C member 8,Human
46238,ABCC9,ATP binding cassette subfamily C member 9,Human
46239,ABCC10,ATP binding cassette subfamily C member 10,Human
46240,ABCC11,ATP binding cassette subfamily C member 11,Human
46241,ABCC12,ATP binding cassette subfamily C member 12,Human
46242,ABCC13,ATP binding cassette subfamily C member 13 (pseudogene),Human
46243,ABCD1,ATP binding cassette subfamily D member 1,Human
46245,ABCD1P2,ATP binding cassette subfamily D member 1 pseudogene 2,Human
46246,ABCD1P3,ATP binding cassette subfamily D member 1 pseudogene 3,Human
46247,ABCD1P4,ATP binding cassette subfamily D member 1 pseudogene 4,Human
46248,ABCD1P5,ATP binding cassette subfamily D member 1 pseudogene 5,Human
46249,ABCD2,ATP binding cassette subfamily D member 2,Human
46250,ABCD3,ATP binding cassette subfamily D member 3,Human
46251,ABCD4,ATP binding cassette subfamily D member 4,Human
46252,ABCE1,ATP binding cassette subfamily E member 1,Human
46253,ABCF1,ATP binding cassette subfamily F member 1,Human
46255,ABCF2,ATP binding cassette subfamily F member 2,Human
46256,ABCF2P1,ATP binding cassette subfamily F member 2 pseudogene 1,Human
46257,ABCF2P2,ATP binding cassette subfamily F member 2 pseudogene 2,Human
46258,ABCF3,ATP binding cassette subfamily F member 3,Human
46259,ABCG1,ATP binding cassette subfamily G member 1,Human
46260,ABCG2,ATP binding cassette subfamily G member 2 (Junior blood group),Human
46261,ABCG4,ATP binding cassette subfamily G member 4,Human
46262,ABCG5,ATP binding cassette subfamily G member 5,Human
46263,ABCG8,ATP binding cassette subfamily G member 8,Human
46265,ABHD1,abhydrolase domain containing 1,Human
46266,ABHD2,abhydrolase domain containing 2,Human
46267,ABHD3,abhydrolase domain containing 3,Human
46268,ABHD4,abhydrolase domain containing 4,Human
46269,ABHD5,abhydrolase domain containing 5,Human
